,,,,,,,,,
Store,item,price,type,Cal,pic,,,,
7-11,*我的輕食尚5折【台北濱江】味付海蜇200g包,69,主食,,,,,,
7-11,*任選六件*【那魯灣嚴選】卜蜂去骨雞腿真空包1包(每隻190g ),75,主食,,,,,,
7-11,*我的輕食尚5折【台北濱江】涼拌脆腸200g包,79,主食,,,,,,
7-11,＊黑貓美食[基隆信義天婦羅] 大圓天婦羅(經濟包),79,主食,,,,,,
7-11,*【台北濱江】薄皮-椰菜鮮菇比薩(奶素)6吋包,80,主食,,,,,,
7-11,*【台北濱江】厚皮-宮保雞丁比薩6吋包,85,主食,,,,,,
7-11,*【台北濱江】薄皮-墨西哥辣腸比薩6吋包,85,主食,,,,,,
7-11,*任選六件*【那魯灣嚴選】卜蜂棒棒腿真空包1包(每包3隻.380g),85,主食,,,,,,
7-11,＊黑貓美食 [歐董] 虱目旗魚丸(600g),89,主食,,,,,,
7-11,＊黑貓美食[PONO波妹方便麵] 奶油培根麵口味(2包1組),90,主食,,,,,,
7-11,*任選六件*【那魯灣】卜蜂去骨雞胸肉真空包1包(每包2片共250g),96,主食,,,,,,
7-11,*任選$788結帳【披薩市】巧巴達拖鞋麵包5入,99,主食,,,,,,
7-11,＊黑貓美食[台南松稜煙燻一族]蹄膀肉片(170g),100,主食,,,,,,
7-11,＊黑貓美食[郭老師]紫米桂圓粥(550cc),100,主食,,,,,,
7-11,*我的輕食尚5折【台北濱江】經典毛豆200g包x3包裝,120,主食,,,,,,
7-11,*我的輕食尚5折【台北濱江】涼拌干絲 200g包,125,主食,,,,,,
7-11,*任選六件*【那魯灣】台灣肩胛梅花豬肉片 1包(每包300g以上),129,主食,,,,,,
7-11,＊黑貓美食[柳營鄉農會] 鮮乳肉包(5入),129,主食,,,,,,
7-11,*我的輕食尚5折【台北濱江】雙喜珍珠8粒(盒),130,主食,,,,,,
7-11,＊黑貓美食[瓜瓜園]冰烤蕃薯 (1kg),135,主食,,,,,,
7-11,*我的輕食尚5折【台北濱江】西班牙海鮮義大利麵660g(份),135,主食,,,,,,
7-11,*【蔥阿嬸】手工四川麻辣豬肉水餃(20g±5%粒)(約50顆一袋),139,主食,,,,,,
7-11,*我的輕食尚5折【台北濱江】五香滷牛肚200g包,139,主食,,,,,,
7-11,＊黑貓美食[十味]爆餡紅豆煎餅(5片),139,主食,,,,,,
7-11,*【蔥阿嬸】手工韓式泡菜豬肉水餃(20g±5%粒)(約50顆一袋),139,主食,,,,,,
7-11,*【蔥阿嬸】手工高山高麗菜豬肉水餃(20g±5%粒)(約50顆一袋),139,主食,,,,,,
7-11,*【蔥阿嬸】手工爆漿韭菜豬肉水餃(20g±5%粒)(約50顆一袋),139,主食,,,,,,
